Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name
08 Jul 25,-14.55,Card ending 0299, ,PURCHASE AUTHORISATION,Subway King St Melbourne,-4790.73,Restaurants & takeaway,Subway (King Street Melbourne)
07 Jul 25,-45.00,Card ending 0299, ,PURCHASE AUTHORISATION,COLES 7724 CAULFIELD,-4776.18,Groceries,Coles (Caulfield Village)
07 Jul 25,-11.60,Card ending 0299, ,PURCHASE AUTHORISATION,Subway Glenhuntly Glen Huntly,-4731.18,Restaurants & takeaway,Subway (Glen Huntly)
07 Jul 25,-21.91,Card ending 0299, ,PURCHASE AUTHORISATION,YUJM PTY LTD CARNEGIE,-4719.58,Groceries,Carnegie Fresh
07 Jul 25,-35.00,Card ending 0299, ,PURCHASE AUTHORISATION,PAYPAL *FELIXMOBILE 4029357733,-4697.67,Phone & internet,Felix Mobile
07 Jul 25,-1.50,Card ending 0570, ,PURCHASE AUTHORISATION,MAITA CAULFIELD,-4662.67,Groceries,Maita
07 Jul 25,-2.99,Card ending 0570, ,PURCHASE AUTHORISATION,CWH MELBOURNE CENTRAL MELBOURNE,-4661.17,Medical,Chemist Warehouse (Melbourne Central)
07 Jul 25,-7.50,Card ending 0570, ,PURCHASE AUTHORISATION,COLES 0602 MELBOURNE,-4658.18,Groceries,Coles (Melbourne Central)
07 Jul 25,-9.46,Card ending 0570, ,PURCHASE AUTHORISATION,COLES 0602 MELBOURNE,-4650.68,Groceries,Coles (Melbourne Central)
07 Jul 25,-10.00,Card ending 0570, ,PURCHASE AUTHORISATION,MYKI CAULFIELD RS CFD CAULFIELD EA,-4641.22,Public transport,Myki (Caulfield Station)
07 Jul 25,-8.00,Card ending 0570, ,CREDIT CARD PURCHASE,KFC Caulfield Caulfield,-4631.22,Restaurants & takeaway,KFC (Caulfield)
07 Jul 25,-8.00,Card ending 0299, ,CREDIT CARD PURCHASE,KFC Caulfield Caulfield,-4623.22,Restaurants & takeaway,KFC (Caulfield)
07 Jul 25,-36.73,Card ending 0299, ,CREDIT CARD PURCHASE,CHEMIST WAREHOUSE MELBOURNE,-4615.22,Medical,Chemist Warehouse (Melbourne)
07 Jul 25,-25.93,Card ending 0570, ,CREDIT CARD PURCHASE,HUNGRYPANDA AU MELBOURNE CBD,-4578.49,Restaurants & takeaway,HungryPanda
07 Jul 25,-15.00,Card ending 0299, ,CREDIT CARD PURCHASE,KFC Caulfield Caulfield,-4552.56,Restaurants & takeaway,KFC (Caulfield)
07 Jul 25,-14.75,Card ending 0299, ,CREDIT CARD PURCHASE,SUBWAY KING ST MELBOURNE,-4537.56,Restaurants & takeaway,Subway (King Street Melbourne)
07 Jul 25,-10.00,Card ending 0570, ,CREDIT CARD PURCHASE,KFC Ormond Ormond,-4522.81,Restaurants & takeaway,KFC (Ormond)
07 Jul 25,-10.00,Card ending 0299, ,CREDIT CARD PURCHASE,KFC Ormond Ormond,-4512.81,Restaurants & takeaway,KFC (Ormond)
05 Jul 25,-10.00,Card ending 0299, ,PURCHASE AUTHORISATION,KFC CAULFIELD CAULFIELD EA,-4502.81,Restaurants & takeaway,KFC (Caulfield)
05 Jul 25,-40.20,Card ending 0570, ,PURCHASE AUTHORISATION,MAITA CAULFIELD,-4492.81,Groceries,Maita
04 Jul 25,-6.95,Card ending 0299, ,CREDIT CARD PURCHASE,KFC Caulfield Caulfield,-4452.61,Restaurants & takeaway,KFC (Caulfield)
04 Jul 25,-16.90,Card ending 0299, ,CREDIT CARD PURCHASE,SUBWAY KING ST MELBOURNE,-4445.66,Restaurants & takeaway,Subway (King Street Melbourne)
04 Jul 25,-14.45,Card ending 0570, ,CREDIT CARD PURCHASE,KFC Swanston Street Swanston Stre,-4428.76,Uncategorised,
03 Jul 25,-17.12,Card ending 0570, ,CREDIT CARD PURCHASE,Dragon Hot Pot Melbourne,-4414.31,Restaurants & takeaway,Dragon Hot Pot (Russell St - Head Office)
03 Jul 25,-11.60,Card ending 0299, ,CREDIT CARD PURCHASE,SUBWAY GLENHUNTLY GLEN HUNTLY,-4397.19,Restaurants & takeaway,Subway (Glen Huntly)
03 Jul 25,-11.00,Card ending 0570, ,CREDIT CARD PURCHASE,MYKI CAULFIELD RS CFD CAULFIELD EAS,-4385.59,Public transport,Myki (Caulfield Station)
02 Jul 25,-35.00,Card ending 0570, ,CREDIT CARD PURCHASE,OPTUS PREPAID MELBOURNE,-4374.59,Phone & internet,Optus
02 Jul 25,-20.34,Card ending 0299, ,CREDIT CARD PURCHASE,ALDI STORES - CAULFIEL CAULFIELD SOU,-4339.59,Groceries,ALDI (Caulfield South)
02 Jul 25,-14.75,Card ending 0299, ,CREDIT CARD PURCHASE,SUBWAY KING ST MELBOURNE,-4319.25,Restaurants & takeaway,Subway (King Street Melbourne)
02 Jul 25,-244.12,Card ending 0570, ,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY SOUTH,-4304.50,Other shopping,Amazon
02 Jul 25,-244.12,Card ending 0299, ,CREDIT CARD PURCHASE,AMAZON MARKETPLACE AU SYDNEY SOUTH,-4060.38,Other shopping,Amazon
02 Jul 25,-149.00,Card ending 0299, ,CREDIT CARD PURCHASE,APPLE.COM/AU SYDNEY,-3816.26,Electronics & technology,Apple
01 Jul 25,-10.10,Card ending 0570, ,CREDIT CARD PURCHASE,MEZE TABLE PTY LTD MELBOURNE,-3667.26,Groceries,The Borek Shop
01 Jul 25,-2200.00,Card ending 0299, ,CREDIT CARD PURCHASE,AUTO & GENERAL SERVICE TOOWONG,-3657.16,Insurance,Auto & General Insurance
